       **Date**, **Annex ID**,   **Volume**,    **¤**,        **GBP**, **Bal (£)**
     2021/07/10,:ref:`INV-0012`,      2500.00,      USD,        1799.16, 1799.16
     2021/07/19,:ref:`RCT-0013`,     -2500.00,      USD,       -1816.52,  -17.36
     2021/08/30,:ref:`RCT-0023`,     -1000.00,      USD,        -726.61, -743.97
     2021/08/30,:ref:`INV-0032`,      1750.00,      USD,        1271.57,  527.60
     2021/10/04,:ref:`RCT-0033`,     -1750.00,      USD,       -1289.63, -762.03
     2021/10/04,:ref:`CRE-0034`,     -1750.00,      USD,       -1289.63,-2051.66
     2021/10/18,:ref:`INV-0042`,      1000.00,      USD,         728.39,−1051.66
     2021/10/30,:ref:`RCT-0043`,     -1000.00,      USD,        -730.61,−2051.66
     2021/11/08,:ref:`CRE-0044`,     -1750.00,      USD,       -1297.16,−3348.82
     2021/11/28,:ref:`INV-0052`,      3750.00,      USD,        2811.01, −537.81
     2021/12/28,:ref:`INV-0062`,      3750.00,      USD,        2791.80, 2253.99
               ,               ,             ,         ,               ,
               ,               ,             ,         ,    **Balance**,**2253.99**
