       **Date**, **Annex ID**,   **Volume**,    **¤**,        **GBP**, **Bal (£)**
     2021/07/10,     INV-0012,      2500.00,      USD,        1816.52, 1816.52
     2021/07/19,     RCT-0013,     -2500.00,      USD,       -1816.52,    0.00
     2021/08/30,     RCT-0023,     -1000.00,      USD,        -730.12, -730.12
     2021/08/30,     INV-0032,      1750.00,      USD,        1272.03,  541.92
     2021/10/04,     RCT-0033,     -1750.00,      USD,       -1272.03, -730.12
     2021/10/04,     CRE-0034,     -1750.00,      USD,       -1272.03,-2002.15
     2021/10/18,     INV-0042,      1000.00,      USD,         728.39,-1273.76
     2021/10/30,     RCT-0043,     -1000.00,      USD,        -730.50,-2004.26
     2021/10/30,     CRE-0044,     -1000.00,      USD,        -730.50,-2734.76
     2021/12/07,     INV-0082,     15000.00,      USD,       11290.59, 8555.83 
               ,             ,             ,         ,**Balance**, **8555.83**
