Start,End,Existing Plan,Performance,New Plan,Issues/ Risks,Hours
25-Dec,31-Dec,":ref:`""test, test""...<2023-W52>`", - , - , - 
18-Dec,24-Dec, - , - , - , - ,n/a
11-Dec,17-Dec, - , - , - , - ,n/a
04-Dec,10-Dec, - , - , - , - ,n/a
27-Nov,03-Dec, - , - , - , - ,n/a
20-Nov,26-Nov, - , - , - , - ,n/a
13-Nov,19-Nov, - , - , - , - ,n/a
06-Nov,12-Nov, - , - , - , - ,n/a
30-Oct,05-Nov, - , - , - , - ,n/a
23-Oct,29-Oct, - , - , - , - ,n/a
16-Oct,22-Oct, - , - , - , - ,n/a
09-Oct,15-Oct, - , - , - , - ,n/a
02-Oct,08-Oct, - , - , - , - ,n/a
25-Sep,01-Oct, - , - , - , - ,n/a
18-Sep,24-Sep, - , - , - , - ,n/a
11-Sep,17-Sep, - , - , - , - ,n/a
04-Sep,10-Sep, - , - , - , - ,n/a
28-Aug,03-Sep, - , - , - , - ,n/a
21-Aug,27-Aug, - , - , - , - ,n/a
14-Aug,20-Aug, - , - , - , - ,n/a
07-Aug,13-Aug, - , - , - , - ,n/a
31-Jul,06-Aug, - , - , - , - ,n/a
24-Jul,30-Jul, - , - , - , - ,n/a
17-Jul,23-Jul, - , - , - , - ,n/a
10-Jul,16-Jul, - , - , - , - ,n/a
03-Jul,09-Jul, - , - , - , - ,n/a
26-Jun,02-Jul, - , - , - , - ,n/a
19-Jun,25-Jun, - , - , - , - ,n/a
12-Jun,18-Jun, - , - , - , - ,n/a
05-Jun,11-Jun, - , - , - , - ,n/a
29-May,04-Jun, - , - , - , - ,n/a
22-May,28-May, - , - , - , - ,n/a
15-May,21-May, - , - , - , - ,n/a
08-May,14-May, - , - , - , - ,n/a
01-May,07-May, - , - , - , - ,n/a
24-Apr,30-Apr, - , - , - , - ,n/a
17-Apr,23-Apr, - , - , - , - ,n/a
10-Apr,16-Apr, - , - , - , - ,n/a
03-Apr,09-Apr, - , - , - , - ,n/a
27-Mar,02-Apr, - , - , - , - ,n/a
20-Mar,26-Mar, - , - , - , - ,n/a
13-Mar,19-Mar, - , - , - , - ,n/a
06-Mar,12-Mar, - , - , - , - ,n/a
27-Feb,05-Mar, - , - , - , - ,n/a
20-Feb,26-Feb, - , - , - , - ,n/a
13-Feb,19-Feb, - , - , - , - ,n/a
06-Feb,12-Feb, - , - , - , - ,n/a
30-Jan,05-Feb, - , - , - , - ,n/a
23-Jan,29-Jan, - , - , - , - ,n/a
16-Jan,22-Jan, - , - , - , - ,n/a
09-Jan,15-Jan, - , - , - , - ,n/a
02-Jan,08-Jan, - , - , - , - ,n/a
26-Dec,01-Jan, - , - , - , - ,n/a
19-Dec,25-Dec, - , - , - , - ,n/a
12-Dec,18-Dec, - , - , - , - ,n/a
05-Dec,11-Dec, - , - , - , - ,n/a
28-Nov,04-Dec, - , - , - , - ,n/a
21-Nov,27-Nov, - , - , - , - ,n/a
14-Nov,20-Nov, - , - , - , - ,n/a
07-Nov,13-Nov, - , - , - , - ,n/a
31-Oct,06-Nov, - , - , - , - ,n/a
24-Oct,30-Oct, - , - , - , - ,n/a
17-Oct,23-Oct, - , - , - , - ,n/a
10-Oct,16-Oct, - , - , - , - ,n/a
03-Oct,09-Oct, - , - , - , - ,n/a
26-Sep,02-Oct, - , - , - , - ,n/a
19-Sep,25-Sep, - , - , - , - ,n/a
12-Sep,18-Sep, - , - , - , - ,n/a
05-Sep,11-Sep, - , - , - , - ,n/a
29-Aug,04-Sep, - , - , - , - ,n/a
22-Aug,28-Aug, - , - , - , - ,n/a
15-Aug,21-Aug, - , - , - , - ,n/a
08-Aug,14-Aug, - , - , - , - ,n/a
01-Aug,07-Aug, - , - , - , - ,n/a
25-Jul,31-Jul, - , - , - , - ,n/a
18-Jul,24-Jul, - , - , - , - ,n/a
11-Jul,17-Jul, - , - , - , - ,n/a
04-Jul,10-Jul, - , - , - , - ,n/a
27-Jun,03-Jul, - , - , - , - ,n/a
20-Jun,26-Jun, - , - , - , - ,n/a
13-Jun,19-Jun, - , - , - , - ,n/a
06-Jun,12-Jun, - , - , - , - ,n/a
30-May,05-Jun, - , - , - , - ,n/a
23-May,29-May, - , - , - , - ,n/a
16-May,22-May, - , - , - , - ,n/a
09-May,15-May, - , - , - , - ,n/a
02-May,08-May, - , - , - , - ,n/a
25-Apr,01-May, - , - , - , - ,n/a
18-Apr,24-Apr, - , - , - , - ,n/a
11-Apr,17-Apr, - , - , - , - ,n/a
04-Apr,10-Apr, - , - , - , - ,n/a
28-Mar,03-Apr, - , - , - , - ,n/a
21-Mar,27-Mar, - , - , - , - ,n/a
14-Mar,20-Mar, - , - , - , - ,n/a
07-Mar,13-Mar, - , - , - , - ,n/a
28-Feb,06-Mar, - , - , - , - ,n/a
21-Feb,27-Feb, - , - , - , - ,n/a
14-Feb,20-Feb, - , - , - , - ,n/a
07-Feb,13-Feb, - , - , - , - ,n/a
31-Jan,06-Feb, - , - , - , - ,n/a
24-Jan,30-Jan, - , - , - , - ,n/a
17-Jan,23-Jan, - , - , - , - ,n/a
10-Jan,16-Jan, - , - , - , - ,n/a
03-Jan,09-Jan, - , - , - , - ,n/a
